run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23
761.0,321.0,51.0,2588.0,1293.0,334.0,2620.0,3141.0,3036.0,2699.0,2321.0,1363.0,553.0,2477.0,2935.0,1198.0,1108.0,492.0,196.0,3066.0,1681.0,3001.0,2616.0,2421.0
2061.0,2899.0,2422.0,3090.0,536.0,2168.0,3351.0,1359.0,962.0,1044.0,666.0,687.0,1154.0,12.0,2480.0,2303.0,2541.0,1108.0,53.0,1038.0,489.0,1581.0,582.0,2428.0
1883.0,1350.0,899.0,3271.0,2168.0,1222.0,1779.0,1184.0,1881.0,2338.0,2260.0,1409.0,1039.0,3397.0,728.0,2298.0,29.0,1490.0,1330.0,2348.0,1779.0,3392.0,2968.0,666.0
2519.0,2583.0,259.0,2445.0,2696.0,2400.0,2081.0,183.0,2901.0,2276.0,2038.0,243.0,2020.0,850.0,1926.0,2212.0,1268.0,3073.0,2381.0,1995.0,2341.0,2522.0,1926.0,2433.0
2928.0,1937.0,1363.0,1368.0,1222.0,2620.0,3249.0,3023.0,2241.0,2191.0,3392.0,3227.0,2064.0,1349.0,2260.0,2370.0,1043.0,1942.0,1092.0,1940.0,1489.0,313.0,2755.0,2410.0
99.0,318.0,1123.0,176.0,2956.0,1952.0,1293.0,3214.0,414.0,2812.0,2143.0,3181.0,612.0,1572.0,3181.0,181.0,1522.0,1493.0,1914.0,1753.0,50.0,1684.0,2082.0,2435.0
2025.0,2279.0,1341.0,1846.0,2620.0,3109.0,334.0,768.0,2396.0,397.0,1750.0,3123.0,777.0,2875.0,2534.0,128.0,1088.0,1154.0,3293.0,2272.0,960.0,842.0,215.0,2143.0
3283.0,1302.0,1392.0,3123.0,1571.0,234.0,3109.0,3294.0,1914.0,3011.0,1781.0,2914.0,1294.0,2764.0,857.0,368.0,1571.0,456.0,2948.0,1871.0,1790.0,89.0,1136.0,2260.0
763.0,736.0,3317.0,2938.0,1301.0,2710.0,2168.0,291.0,3114.0,3382.0,2432.0,3194.0,795.0,2442.0,2481.0,533.0,601.0,1597.0,333.0,2018.0,2555.0,1017.0,2065.0,2436.0
806.0,2704.0,2190.0,2635.0,1360.0,1210.0,234.0,314.0,1784.0,1522.0,3245.0,1403.0,1616.0,490.0,1110.0,1591.0,1307.0,493.0,2893.0,1894.0,2634.0,2866.0,707.0,2424.0
